NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE22935_UNSTIM_VS_24H_MBOVIS_BCG_STIM_MACROPHAGE_DN	GSE22935_UNSTIM_VS_24H_MBOVIS_BCG_STIM_MACROPHAGE_DN	Details ...	27	-0.25391248	-1.3282354	0.0	0.20352049	0.768	2364	tags=100%, list=75%, signal=394%	
GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_DN	GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_DN	Details ...	19	-0.24784964	-1.1881164	0.16666667	0.4830464	0.978	2381	tags=100%, list=75%, signal=404%	
GSE10325_BCELL_VS_LUPUS_BCELL_DN	GSE10325_BCELL_VS_LUPUS_BCELL_DN	Details ...	24	-0.2182091	-1.1669688	0.15384616	0.5161326	0.982	1701	tags=92%, list=54%, signal=197%	
GSE23308_WT_VS_MINERALCORTICOID_REC_KO_MACROPHAGE_CORTICOSTERONE_TREATED_DN	GSE23308_WT_VS_MINERALCORTICOID_REC_KO_MACROPHAGE_CORTICOSTERONE_TREATED_DN	Details ...	33	-0.17177576	-1.104407	0.5	0.69044834	0.995	2339	tags=97%, list=74%, signal=370%	
GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_DN	GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_DN		30	-0.2244596	-1.0936288	0.33333334	0.6978014	0.996	2152	tags=97%, list=68%, signal=301%	
GSE360_L_MAJOR_VS_M_TUBERCULOSIS_DC_DN	GSE360_L_MAJOR_VS_M_TUBERCULOSIS_DC_DN		36	-0.17108051	-1.092136	0.0	0.67196655	0.996	2166	tags=94%, list=69%, signal=297%	
GSE26030_TH1_VS_TH17_RESTIMULATED_DAY5_POST_POLARIZATION_UP	GSE26030_TH1_VS_TH17_RESTIMULATED_DAY5_POST_POLARIZATION_UP		36	-0.19346572	-1.0807709	0.5	0.68236005	0.997	2555	tags=100%, list=81%, signal=518%	
GSE12839_CTRL_VS_IL12_TREATED_PBMC_DN	GSE12839_CTRL_VS_IL12_TREATED_PBMC_DN		15	-0.26630607	-1.0752869	0.28947368	0.6720771	0.997	2322	tags=100%, list=74%, signal=376%	
GSE6674_UNSTIM_VS_PL2_3_STIM_BCELL_UP	GSE6674_UNSTIM_VS_PL2_3_STIM_BCELL_UP		27	-0.18748003	-1.0706794	0.5	0.6591616	0.998	2572	tags=100%, list=81%, signal=534%	
GSE3920_UNTREATED_VS_IFNA_TREATED_ENDOTHELIAL_CELL_UP	GSE3920_UNTREATED_VS_IFNA_TREATED_ENDOTHELIAL_CELL_UP		18	-0.24426912	-1.0342598	0.375	0.7503912	0.999	1586	tags=89%, list=50%, signal=178%	
GSE360_L_MAJOR_VS_B_MALAYI_HIGH_DOSE_DC_UP	GSE360_L_MAJOR_VS_B_MALAYI_HIGH_DOSE_DC_UP		28	-0.23482427	-1.00225	0.33333334	0.8302884	0.999	2424	tags=100%, list=77%, signal=426%	
GSE29614_DAY3_VS_DAY7_TIV_FLU_VACCINE_PBMC_DN	GSE29614_DAY3_VS_DAY7_TIV_FLU_VACCINE_PBMC_DN		22	-0.2054351	-0.9937712	0.46153846	0.88916105	0.999	2093	tags=95%, list=66%, signal=281%	
GSE17721_0.5H_VS_4H_GARDIQUIMOD_BMDC_DN	GSE17721_0.5H_VS_4H_GARDIQUIMOD_BMDC_DN		31	-0.19623569	-0.97144425	0.6666667	0.92688966	1.0	1555	tags=87%, list=49%, signal=170%	
GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_CD8_TCELL_UP	GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_CD8_TCELL_UP		18	-0.21496816	-0.9641643	0.5	0.91807085	1.0	2484	tags=100%, list=79%, signal=466%	
GSE2770_UNTREATED_VS_TGFB_AND_IL4_TREATED_ACT_CD4_TCELL_48H_UP	GSE2770_UNTREATED_VS_TGFB_AND_IL4_TREATED_ACT_CD4_TCELL_48H_UP		15	-0.22466943	-0.9632724	0.5	0.891054	1.0	1926	tags=93%, list=61%, signal=238%	
GSE20366_EX_VIVO_VS_DEC205_CONVERSION_NAIVE_CD4_TCELL_UP	GSE20366_EX_VIVO_VS_DEC205_CONVERSION_NAIVE_CD4_TCELL_UP		34	-0.15396927	-0.921456	1.0	0.9831854	1.0	2678	tags=100%, list=85%, signal=651%	
GSE360_L_MAJOR_VS_B_MALAYI_LOW_DOSE_MAC_DN	GSE360_L_MAJOR_VS_B_MALAYI_LOW_DOSE_MAC_DN		33	-0.15104	-0.91315526	0.6666667	0.9770922	1.0	2687	tags=100%, list=85%, signal=663%	
GSE37534_GW1929_VS_PIOGLITAZONE_TREATED_CD4_TCELL_PPARG1_FOXP3_TRANSDUCED_UP	GSE37534_GW1929_VS_PIOGLITAZONE_TREATED_CD4_TCELL_PPARG1_FOXP3_TRANSDUCED_UP		20	-0.20235819	-0.89767945	0.6666667	0.9868011	1.0	2524	tags=100%, list=80%, signal=495%	
GSE26030_UNSTIM_VS_RESTIM_TH17_DAY15_POST_POLARIZATION_UP	GSE26030_UNSTIM_VS_RESTIM_TH17_DAY15_POST_POLARIZATION_UP		24	-0.19751117	-0.873129	0.6666667	1.0	1.0	2540	tags=100%, list=80%, signal=507%	
GSE46606_IRF4HIGH_VS_WT_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_DN	GSE46606_IRF4HIGH_VS_WT_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_DN		15	-0.19471842	-0.82554954	0.7692308	1.0	1.0	2547	tags=100%, list=81%, signal=514%	
GSE25123_CTRL_VS_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_UP	GSE25123_CTRL_VS_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_UP		16	-0.19350731	-0.8237409	0.6764706	1.0	1.0	2551	tags=100%, list=81%, signal=518%	
