NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE32901_TH1_VS_TH17_ENRICHED_CD4_TCELL_DN	GSE32901_TH1_VS_TH17_ENRICHED_CD4_TCELL_DN		28	0.33537325	0.93097055	0.63544816	1.0	1.0	1456	tags=50%, list=46%, signal=92%	
GSE28408_LY6G_POS_VS_NEG_DC_UP	GSE28408_LY6G_POS_VS_NEG_DC_UP		73	0.312748	0.9308884	0.6496496	1.0	1.0	861	tags=30%, list=27%, signal=40%	
GSE2706_UNSTIM_VS_8H_R848_DC_DN	GSE2706_UNSTIM_VS_8H_R848_DC_DN		31	0.33780214	0.93086624	0.6154618	1.0	1.0	941	tags=35%, list=30%, signal=50%	
GSE360_T_GONDII_VS_B_MALAYI_LOW_DOSE_DC_DN	GSE360_T_GONDII_VS_B_MALAYI_LOW_DOSE_DC_DN		22	0.34485862	0.9306987	0.6004016	1.0	1.0	1085	tags=41%, list=34%, signal=62%	
GSE26559_TCF1_KO_VS_WT_LIN_NEG_CELL_UP	GSE26559_TCF1_KO_VS_WT_LIN_NEG_CELL_UP		42	0.3241884	0.93067265	0.6396396	1.0	1.0	627	tags=21%, list=20%, signal=26%	
GSE17721_CTRL_VS_GARDIQUIMOD_24H_BMDC_DN	GSE17721_CTRL_VS_GARDIQUIMOD_24H_BMDC_DN		36	0.32718122	0.9306539	0.6272545	1.0	1.0	296	tags=8%, list=9%, signal=9%	
GSE339_EX_VIVO_VS_IN_CULTURE_CD4CD8DN_DC_UP	GSE339_EX_VIVO_VS_IN_CULTURE_CD4CD8DN_DC_UP		39	0.3291732	0.9305738	0.6316316	1.0	1.0	375	tags=18%, list=12%, signal=20%	
GSE5542_IFNG_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_UP	GSE5542_IFNG_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_UP		27	0.3360674	0.93051255	0.5923695	1.0	1.0	1650	tags=63%, list=52%, signal=131%	
GSE557_WT_VS_I_AB_KO_DC_UP	GSE557_WT_VS_I_AB_KO_DC_UP		50	0.3181239	0.9304497	0.661	1.0	1.0	1222	tags=42%, list=39%, signal=67%	
GSE11961_FOLLICULAR_BCELL_VS_MARGINAL_ZONE_BCELL_DN	GSE11961_FOLLICULAR_BCELL_VS_MARGINAL_ZONE_BCELL_DN		25	0.34341455	0.93025094	0.61005026	1.0	1.0	215	tags=16%, list=7%, signal=17%	
GSE7548_NAIVE_VS_DAY7_PCC_IMMUNIZATION_CD4_TCELL_UP	GSE7548_NAIVE_VS_DAY7_PCC_IMMUNIZATION_CD4_TCELL_UP		46	0.31839666	0.9301653	0.641	1.0	1.0	1769	tags=70%, list=56%, signal=156%	
GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_17H_DN	GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_17H_DN		32	0.3268746	0.9300253	0.61122245	1.0	1.0	1002	tags=38%, list=32%, signal=54%	
GSE17721_LPS_VS_CPG_1H_BMDC_DN	GSE17721_LPS_VS_CPG_1H_BMDC_DN		41	0.32484403	0.92988217	0.62888664	1.0	1.0	930	tags=29%, list=29%, signal=41%	
GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_30H_UP	GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_30H_UP		42	0.32701027	0.92977476	0.615	1.0	1.0	1199	tags=43%, list=38%, signal=68%	
GSE27786_CD8_TCELL_VS_NEUTROPHIL_DN	GSE27786_CD8_TCELL_VS_NEUTROPHIL_DN		32	0.33122405	0.9295215	0.62650603	1.0	1.0	1661	tags=63%, list=53%, signal=131%	
